temp,Year,Month,Country
13,1998,1,MAR 
15,1998,2,MAR 
18,1998,3,MAR 
23,1998,4,MAR 
27,1998,5,MAR 
32,1998,6,MAR 
34,1998,7,MAR 
32,1998,8,MAR 
30,1998,9,MAR 
23,1998,10,MAR 
17,1998,11,MAR 
13,1998,12,MAR 
13,1999,1,MAR 
12,1999,2,MAR 
18,1999,3,MAR 
23,1999,4,MAR 
28,1999,5,MAR 
31,1999,6,MAR 
33,1999,7,MAR 
32,1999,8,MAR 
30,1999,9,MAR 
25,1999,10,MAR 
17,1999,11,MAR 
12,1999,12,MAR 
11,2000,1,MAR 
14,2000,2,MAR 
19,2000,3,MAR 
24,2000,4,MAR 
28,2000,5,MAR 
31,2000,6,MAR 
33,2000,7,MAR 
32,2000,8,MAR 
29,2000,9,MAR 
22,2000,10,MAR 
18,2000,11,MAR 
14,2000,12,MAR 
12,2001,1,MAR 
16,2001,2,MAR 
21,2001,3,MAR 
22,2001,4,MAR 
27,2001,5,MAR 
32,2001,6,MAR 
33,2001,7,MAR 
32,2001,8,MAR 
29,2001,9,MAR 
25,2001,10,MAR 
18,2001,11,MAR 
14,2001,12,MAR 
12,2002,1,MAR 
14,2002,2,MAR 
19,2002,3,MAR 
22,2002,4,MAR 
26,2002,5,MAR 
32,2002,6,MAR 
33,2002,7,MAR 
32,2002,8,MAR 
30,2002,9,MAR 
24,2002,10,MAR 
17,2002,11,MAR 
15,2002,12,MAR 
12,2003,1,MAR 
14,2003,2,MAR 
18,2003,3,MAR 
23,2003,4,MAR 
28,2003,5,MAR 
32,2003,6,MAR 
34,2003,7,MAR 
33,2003,8,MAR 
30,2003,9,MAR 
25,2003,10,MAR 
18,2003,11,MAR 
13,2003,12,MAR 
12,2004,1,MAR 
18,2004,2,MAR 
17,2004,3,MAR 
23,2004,4,MAR 
25,2004,5,MAR 
31,2004,6,MAR 
32,2004,7,MAR 
33,2004,8,MAR 
29,2004,9,MAR 
26,2004,10,MAR 
17,2004,11,MAR 
13,2004,12,MAR 
10,2005,1,MAR 
13,2005,2,MAR 
19,2005,3,MAR 
24,2005,4,MAR 
29,2005,5,MAR 
32,2005,6,MAR 
33,2005,7,MAR 
32,2005,8,MAR 
28,2005,9,MAR 
25,2005,10,MAR 
18,2005,11,MAR 
13,2005,12,MAR 
11,2006,1,MAR 
14,2006,2,MAR 
19,2006,3,MAR 
23,2006,4,MAR 
28,2006,5,MAR 
31,2006,6,MAR 
34,2006,7,MAR 
32,2006,8,MAR 
29,2006,9,MAR 
25,2006,10,MAR 
18,2006,11,MAR 
13,2006,12,MAR 
12,2007,1,MAR 
16,2007,2,MAR 
14,2007,3,MAR 
22,2007,4,MAR 
27,2007,5,MAR 
31,2007,6,MAR 
32,2007,7,MAR 
32,2007,8,MAR 
30,2007,9,MAR 
24,2007,10,MAR 
17,2007,11,MAR 
13,2007,12,MAR 
11,2008,1,MAR 
14,2008,2,MAR 
18,2008,3,MAR 
23,2008,4,MAR 
27,2008,5,MAR 
31,2008,6,MAR 
33,2008,7,MAR 
32,2008,8,MAR 
30,2008,9,MAR 
23,2008,10,MAR 
16,2008,11,MAR 
12,2008,12,MAR 
